Code,Station,Province/Territory,Latitude,Longitude,Temperature (deg C)
yzv,Sept-Îles Airport (QC),Quebec,50.22,66.27,-9
xsh,Shawinigan (QC),Quebec,46.56,72.73,1
ysc,Sherbrooke Airport (QC),Quebec,45.44,71.69,5
ytq,Tasiujaq Airport (QC),Quebec,58.67,69.96,-30
wba,Temiskaming Dam (QC),Quebec,46.71,79.1,-1
mth,Thetford Mines (QC),Quebec,46.05,71.27,2
wty,Trois-Rivières (QC),Quebec,46.35,72.52,1
yrq,Trois-Rivières Airport (QC),Quebec,46.35,72.68,1
ymu,Umiujaq Airport (QC),Quebec,56.54,76.52,-28
yoy,"Valcartier, CFB (QC)",Quebec,46.9,71.5,1
gvo,Val-D'Or (QC),Quebec,48.06,77.79,-5
yvo,Val-d'Or Regional Airport (QC),Quebec,48.05,77.78,-5
ykq,Waskaganish Airport (QC),Quebec,51.47,78.76,-18
ync,Wemindji Airport (QC),Quebec,53.01,78.83,-22
wji,Assiniboia Airport (SK),Saskatchewan,49.73,105.95,-14
wik,Broadview (SK),Saskatchewan,50.37,102.57,-15
yvt,Buffalo Narrows Airport (SK),Saskatchewan,55.84,108.42,-25
wwc,Collins Bay (SK),Saskatchewan,58.23,103.68,-30
waq,Coronach (SK),Saskatchewan,49.05,105.48,-18
wvp,Cypress Hills Provincial Park (SK),Saskatchewan,49.64,109.51,-13
weh,Eastend (SK),Saskatchewan,49.44,108.99,-25
wok,Elbow (SK),Saskatchewan,51.13,106.58,-14
pjm,Estevan (SK),Saskatchewan,49.22,102.97,-14
yen,Estevan Airport (SK),Saskatchewan,49.21,102.97,-14
zhb,Hudson Bay (SK),Saskatchewan,52.82,102.32,-15
wbd,Indian Head AAFC (SK),Saskatchewan,50.55,103.65,-16
pif,Island Falls (SK),Saskatchewan,55.53,102.35,-18
whn,Jimmy Lake (SK),Saskatchewan,54.91,109.96,-21
pls,Key Lake (SK),Saskatchewan,57.25,105.6,-31
ykj,Key Lake Airport (SK),Saskatchewan,57.26,105.62,-31
yky,Kindersley Airport (SK),Saskatchewan,51.52,109.18,-13
xox,La Ronge (SK),Saskatchewan,55.15,105.27,-22
yvc,La Ronge Airport (SK),Saskatchewan,55.15,105.27,-22
wxg,Last Mountain (SK),Saskatchewan,51.42,105.25,-13
wjx,Leader Airport (SK),Saskatchewan,50.91,109.5,-17
pil,Loon Lake (SK),Saskatchewan,54.02,109.14,-19
wle,Lucky Lake (SK),Saskatchewan,50.95,107.15,-15
pmk,Mankota (SK),Saskatchewan,49.1,107.02,-22
wmq,Maple Creek (SK),Saskatchewan,49.9,109.47,-15
ylj,Meadow Lake Airport (SK),Saskatchewan,54.13,108.05,-20
wff,Melfort (SK),Saskatchewan,52.82,104.6,-16
ymj,"Moose Jaw, CFB (SK)",Saskatchewan,50.33,105.57,-12
wbu,Nipawin (SK),Saskatchewan,53.33,104.0,-15
ybu,Nipawin Airport (SK),Saskatchewan,53.33,104.01,-15
pqw,North Battleford (SK),Saskatchewan,52.77,108.26,-15
yqw,North Battleford Airport (SK),Saskatchewan,52.77,108.24,-15
wye,Outlook (SK),Saskatchewan,51.48,107.05,-14
pun,Pilger (SK),Saskatchewan,52.42,105.15,-15
ypa,Prince Albert Airport (SK),Saskatchewan,53.21,105.67,-15
ppr,Prince Albert Glass Field (SK),Saskatchewan,53.21,105.68,-15
wdj,Regina (SK),Saskatchewan,50.43,104.67,-14
yqr,Regina Int'l Airport (SK),Saskatchewan,50.43,104.67,-14
wko,Rockglen (SK),Saskatchewan,49.17,105.98,-20
wrj,Rosetown Airport (SK),Saskatchewan,51.57,107.92,-14
pox,Saskatoon (SK),Saskatchewan,52.17,106.72,-14
yxe,Saskatoon Diefenbaker Int'l Airport (SK),Saskatchewan,52.17,106.7,-14
wts,Scott AAFC (SK),Saskatchewan,52.36,108.83,-14
wjh,Southend (SK),Saskatchewan,56.33,103.28,-26
ysf,Stony Rapids Airport (SK),Saskatchewan,59.25,105.84,-28
wvc,Swift Current (SK),Saskatchewan,50.27,107.73,-14
yyn,Swift Current Airport (SK),Saskatchewan,50.29,107.69,-14
wdc,Uranium City (SK),Saskatchewan,59.57,108.48,-28
wvn,Val Marie (SK),Saskatchewan,49.06,107.59,-22
pwx,Waseca (SK),Saskatchewan,53.13,109.41,-15
wlv,Waskesiu Lake (SK),Saskatchewan,53.92,106.07,-19
wiw,Watrous (SK),Saskatchewan,51.67,105.4,-14
wwf,Weyburn (SK),Saskatchewan,49.7,103.8,-15
woy,Wynyard (SK),Saskatchewan,51.77,104.2,-16
pys,Yellow Grass North (SK),Saskatchewan,49.82,104.18,-12
prj,Yorkton (SK),Saskatchewan,51.26,102.46,-16
yqv,Yorkton Airport (SK),Saskatchewan,51.26,102.46,-16
yxq,Beaver Creek Airport (YT),Yukon,62.41,140.87,-10
vbr,Burwash (YT),Yukon,61.37,139.02,-8
ydb,Burwash Airport (YT),Yukon,61.37,139.04,-8
xck,Carmacks (YT),Yukon,62.12,136.19,-13
yda,Dawson Airport (YT),Yukon,64.04,139.13,-13
zfa,Faro Airport (YT),Yukon,62.21,133.37,-14
wht,Haines Junction (YT),Yukon,60.77,137.58,-12
woi,Ivvavik National Park (YT),Yukon,69.16,140.15,-11
wkm,Komakuk Beach (YT),Yukon,69.61,140.2,-10
yma,Mayo Airport (YT),Yukon,63.62,135.87,-14
yoc,Old Crow Airport (YT),Yukon,67.57,139.84,-7
wrr,Rock River (YT),Yukon,66.98,136.22,-9
yua,Shingle Point Airport (YT),Yukon,68.95,137.22,-6
yzw,Teslin Airport (YT),Yukon,60.17,132.74,-15
xqh,Watson Lake (YT),Yukon,60.12,128.83,-23
yqh,Watson Lake Airport (YT),Yukon,60.12,128.82,-23
vxy,Whitehorse (YT),Yukon,60.73,135.1,-10
yxy,Whitehorse Airport (YT),Yukon,60.71,135.07,-11
